"R_Med_Tests","Units","Min","First_Q","Median","Mean","Third_Q","Max","Total_Data_Points","Num_Outlier","Outlier_Per"
"IMMATURE GRANULOCYTE%","%",0,0.3,0.4,0.755059523809524,0.7,27.2,1008,128,0.127
"IMMATURE GRANULOCYTE#","K/cu mm",0,0.02,0.03,0.073605577689243,0.06,1.87,1004,130,0.1295
"TSH","uIU/ml",0.01,0.87,1.63,3.2354974974975,2.81,107,999,85,0.0851
"EGFR AFRICAN- AMERICAN","mL/min",4,26,43,38.7858695652174,52,60,920,0,0
"CHOLESTEROL TOTAL","mg/dL",60,150,181,181.776035834267,209,423,893,17,0.019
"QTC","ms",324,416,435,439.086651053864,457.75,597,854,26,0.0304
"HEMOGLOBIN A1C","%",3.9,5.6,6,6.35820170109356,6.8,15.1,823,49,0.0595
"TRIGLYCERIDES","mg/dL",22,84,127,158.386114494519,191,2744,821,42,0.0512
"UROBILINOGEN (UR)","EHRLICH UNITS",0.2,0.2,0.2,0.278090575275398,0.2,8,817,56,0.0685
"LDL","mg/dL",17,76,102,104.102564102564,127,281,780,11,0.0141
"DIRECT BILIRUBIN","mg/dL",0,0.1,0.2,0.41245110821382,0.2,11.4,767,107,0.1395
"HDL CHOLESTEROL","mg/dL",13,40,49,51.6619492656876,62,144,749,19,0.0254
"PH, WHOLE BLOOD","",1.29,7.34,7.37,7.36383808095952,7.41,7.65,667,25,0.0375
"TOTAL CO2, ARTERIAL","mmol/L",8,23,26,26.3063063063063,30,42,666,11,0.0165
"TROPONIN I, PLASMA","ng/mL",0,0.02,0.04,1.81805379746835,0.355,101,632,103,0.163
"TOTAL HEMOGLOBIN","g/dL",5.5,9.4,10.7,10.8241146711636,12.1,18.1,593,8,0.0135
"CYCLOSPORINE, WHOLE BLOOD","ng/ml",38,84,119,137.729510961214,159,881.6,593,32,0.054
"LD TOTAL, PLASMA","U/L",60,136,173,220.318493150685,243,1760,584,49,0.0839
"GLUCOSE, WHL BLD","mg/dL",64,119,139,142.842013888889,162,405,576,5,0.0087
"PATIENT TEMP., ARTERIAL","Degree C",32,36.5,37,37.1107205623902,37.4,96.3,569,22,0.0387
"CALC ICA, WHOLE BLOOD","mmol/L",0.22,1,1.12,1.17839572192513,1.2,8.9,561,79,0.1408
"VLDL","mg/dL",4,16,24,29.6618444846293,36,291,553,19,0.0344
"CALCIUM(ALB CORRECTED)","mg/dL",7.5,9,9.4,9.4375,9.8,12.4,528,8,0.0152
"URIC ACID, PLASMA","mg/dL",1.3,4.4,6,5.88914285714286,7,16,525,7,0.0133
"OXYHEMOGLOBIN","%",30,96.3,98,93.5093690248566,98.65,99.7,523,79,0.1511
"NON-HDL CHOLESTEROL","mg/dL",36,104,129,132.546436285097,154,288,463,14,0.0302
"QTCB","ms",0,424,443,447.218142548596,468.5,599,463,15,0.0324
"VITAMIN D 25 HYDROXY, SERUM","ng/mL",5,23.775,31.85,35.5170444444444,41.75,159.2,450,23,0.0511
"AMMONIA","umol/L",8,28,44,61.2089887640449,65,701,445,41,0.0921
"FIBRINOGEN LEVEL","mg/dL",85,297,394.5,404.882882882883,513.25,896,444,1,0.0023
"GRANULAR CASTS (UR)","/lpf",0,0,0,0.788636363636364,0,89,440,23,0.0523
"FIO2, ARTERIAL","",0.21,0.35,0.4,3.05172727272727,0.6,100,440,57,0.1295
"CELLULAR CASTS (UR)","/lpf",0,0,0,0.0275862068965517,0,12,435,1,0.0023
"HYALINE CASTS (UR)","/lpf",0,0,0,2.34490740740741,0,193,432,77,0.1782
"MID-RANGE #","K/cu mm",0,0.3,0.4,0.42258064516129,0.5,3.9,403,21,0.0521
"WHITE CELLS (UR)","/hpf",0,1,4,34.2576923076923,16,876,390,61,0.1564
"MID-RANGE %","%",1.5,5.6,7.1,7.56314432989691,9.1,25.5,388,13,0.0335
"LACTATE, ARTERIAL","mmol/L",0.3,0.8,1.4,1.79028871391076,2.3,10.6,381,24,0.063
"TACROLIMUS (FK506)","ng/mL",1.4,5.375,7.2,8.2938202247191,9.325,194,356,17,0.0478
"CREATININE, POC","mg/dL",0.3,0.8,1,1.21577464788732,1.2,15.6,355,22,0.062
"RED CELLS (UR)","/hpf",0,1,2,21.2600852272727,8,593,352,56,0.1591
"FREE T4","ng/dL",0.3,0.9,1.1,1.16175438596491,1.3,8.37,342,6,0.0175
"FERRITIN","ng/mL",3,45,113,273.990532544379,273.55,3972,338,35,0.1036
"CARBOXYHEMOGLOBIN","%",0,1,1.2,1.38338278931751,1.6,6.3,337,24,0.0712
"METHEMOGLOBIN","%",-0.1,0.5,0.6,0.661467889908257,0.9,1.8,327,6,0.0183
"DEOXYHEMOGLOBIN","",-1,0,0.7,7.83479623824451,4.55,68.2,319,61,0.1912
"RBC","X10 6/uL",2.05,3.15,3.49,3.58741258741259,4.0275,5.68,286,1,0.0035
"BLOOD TYPE BARCODE","",600,5100,6200,5663.95759717314,6200,9500,283,42,0.1484
"PLT","X10 3",7,155.75,210.5,212.5,259.75,751,278,11,0.0396
"PROTEIN (UR)","mg/dL",1,30,30,76.5127272727273,100,2000,275,6,0.0218
"WBC","X10 3/uL",0.4,4.2,6.35,7.64233576642336,8.875,100,274,14,0.0511
"LIPASE","U/L",10,24,65.5,185.577777777778,132.25,8426,270,24,0.0889
"PREALBUMIN","mg/L",3.3,10.875,21.55,64.6719696969697,97.25,381,264,20,0.0758
"EXPIRATION DATE","",2.0151e+11,2.01604e+11,2.01608e+11,201628430232.558,2.01702e+11,2.01708e+11,258,0,0
"SEDIMENTATION RATE","mm/hr",1,19,35,39.9303278688525,53,120,244,7,0.0287
"HEPARIN, STD LMW","U/mL",0.1,0.29,0.425,0.507172131147541,0.58,1.95,244,17,0.0697
"CA-125, CIA BECKMAN","U/mL",3,16,136,1520.06198347107,1212.25,53642,242,20,0.0826
"BLOOD PRODUCT CODE","",4360,4710,4710,8597.64628820961,18204,18205,229,0,0
"CREATININE CONC, URINE","mg/dL",14,50,79.6,100.397885462555,122.42,343.1,227,20,0.0881
"MONO %","%",0.3,5.25,6.9,8.05550458715596,9.475,40.6,218,13,0.0596
"LYMPH %","%",2.7,12.75,21.6,24.2050458715596,33.85,78.4,218,3,0.0138
"PSA (TOTAL)","ng/mL",0.01,0.2,1.84,78.9892344497608,38.9,1159.21,209,40,0.1914
"BUN/CREATININE RATIO","RATIO",7,15.1,19,20.5564356435644,24,45,202,7,0.0347
"BAND (ABSOLUTE) ..........","",0,0.025,0.3,1.07469072164948,1.775,7.9,194,9,0.0464
"BANDS (%).................","%",0,1,5,9.40052083333333,15.25,59,192,7,0.0365
"TOTAL IRON BINDING CAPACITY","ug/dL",59,234,282,279.497382198953,328,520,191,9,0.0471
"PO2, VENOUS","mmHg",18,35,40,47.8376963350785,48,298,191,15,0.0785
"PCO2, VENOUS","mmHg",17,39,45,46.2497354497354,51,120,189,9,0.0476
"PH, VENOUS","",7.07,7.34,7.38,7.36777777777778,7.42,7.51,189,11,0.0582
"HCO3, VENOUS","mmol/L",8,22,25,25.7505376344086,30,50,186,4,0.0215
"BASE EXCESS, VENOUS","",-17.2,-3.5,0.15,0.0827586206896551,4.125,15.1,174,1,0.0057
"CK","U/L",13,58.5,153,1124.7005988024,589.5,14723,167,25,0.1497
"ATYPICAL CELLS %","",0,0,0,0.207317073170732,0,9.7,164,13,0.0793
"TOTAL CO2, VENOUS","mmol/L",9,23,27,27.6558441558442,31,54,154,6,0.039
"MYELOCYTES %..............","%",0,0,0,0.568627450980392,0,16,153,27,0.1765
"O2 SAT, VENOUS","%",24.9,66.175,76.45,73.0776315789474,84.05,100.7,152,9,0.0592
"GGT","U/L",9,24,58,120.980132450331,155,874,151,13,0.0861
"BIPLANE, EF (%)","",25,53.95,61.1,58.6918345578231,66,86.5,147,9,0.0612
"PROMYELOCYTES %...........","%",0,0,0,0.0816326530612245,0,4,147,8,0.0544
"METAMYELOCYTES %..........","%",0,0,0,1.06293706293706,1,23,143,20,0.1399
"CREATININE, URINE","mg/dL",0.45,46.025,97.95,106.319142857143,142.875,434.3,140,5,0.0357
"NEUTRO %","%",1.4,55.5,67.1,65.4841726618705,79.1,95,139,5,0.036
"C-REACTIVE PROTEIN","mg/dl",0.1,1.5675,5.15,22.6675,18.1,276,136,17,0.125
"PSA, TOTAL, SCREENING","ng/mL",0.01,0.61,1.16,5.70518796992481,2.23,407.6,133,16,0.1203
"MONO #","10^3/uL",0,0.2,0.3,0.396899224806202,0.5,1.9,129,8,0.062
"MID-RANGE ABSOLUTE","",0,0.2,0.3,0.36640625,0.425,1.1,128,1,0.0078
"EOS %","%",0,0.3,1,2.0251968503937,2.95,16.3,127,6,0.0472
"IRON SERUM","ug/dL",10,35.5,59,66.3070866141732,90,361,127,2,0.0157
"BASO %","%",0,0.2,0.4,0.5296,0.7,3.5,125,6,0.048
"LYMPH #","10^3/uL",0.2,0.8,1.2,1.2448,1.5,3.8,125,4,0.032
"HEMOGLOBIN, POC","g/dL",5.4,9.8,11.9,11.7427419354839,13.6,18,124,0,0
"TROPONIN, POC","ng/mL",0,0,0.01,0.0533333333333333,0.05,1.66,123,7,0.0569
"POC-LACTATE","mmol/L",0.4,1,1.7,2.51900826446281,3,13.3,121,8,0.0661
"NRBC......................","/100 WBC",0,0,0,0.495867768595041,0,7,121,27,0.2231
"HCT","%",19.6,28.525,31.3,32.15,35.85,44.2,120,0,0
"% SATURATION TRANSFERRIN, SERUM","%",4,16,24,26.2168067226891,34,94,119,5,0.042
"VANCOMYCIN, TROUGH","ug/mL",2.8,10.45,14.3,15.7151260504202,18.2,50.6,119,8,0.0672
"PATIENT TEMP., VENOUS","Degree C",35.6,36.4,36.9,36.9508474576271,37.4,39,118,1,0.0085
"AMMONIA (LAB)","umol/L",13,37,47,52.8728813559322,58.75,211,118,8,0.0678
"GRAN %","%",11.8,55.975,66.15,64.3655172413793,75.3,88.5,116,4,0.0345
"ESTIMATED GFR","",12,42.65,93.5,98.8775862068966,148,242.5,116,0,0
"BUN, POC","mg/dL",6,13,19,23.4086956521739,26,108,115,11,0.0957
"EJECTION FRACTION RANGE MEAN VALUE","%",20,52.5,62.5,54.5394736842105,62.5,75,114,19,0.1667
"ICA, CORRECTED TO PH 7.4","mmol/L",0.85,1.03,1.13,1.12267857142857,1.2,1.47,112,1,0.0089
"BASE EXCESS ART, POC","mmol/L",-9.9,-2.925,-0.2,0.191071428571429,3.45,15,112,1,0.0089
"FSH, SERUM","mIU/mL",1,18,44,47.2477477477477,69.5,132,111,0,0
"LACTATE","mmol/L",0.4,1.3,2,2.66036036036036,3.2,19,111,6,0.0541
"KETONES (UR)","mg/dL",0.2,5,15,22.0472727272727,36.25,80,110,0,0
"GRAN #","K/cu mm",0.2,2,3.05,3.79528301886792,4.375,25.1,106,5,0.0472
"PH ARTERIAL, POC","",7.12,7.3225,7.3795,7.36737735849057,7.42,7.54,106,4,0.0377
"GLUCOSE(UR)","mg/dL",50,100,100,163.809523809524,150,500,105,26,0.2476
"MID-RANGE (%)","%",1.5,5,6.7,6.96666666666667,8,17,105,3,0.0286
"AMYLASE, PLASMA","U/L",8,43,63.5,108.144230769231,100.25,2480,104,5,0.0481
"PCO2 ARTERIAL, POC","mmHg",20,38,43,44.8456310679612,48,93,103,8,0.0777
"POTASSIUM, WHOLE BLOOD","mmol/L",2.9,3.6,4.1,4.20686274509804,4.5,6.8,102,7,0.0686
"HGB","g/dl",6.2,9.3,10.6,10.852,12.525,15,100,0,0
"PO2 ARTERIAL, POC","mmHg",25,68,81,106.173737373737,116,607,99,8,0.0808
"CEA-CARCINOEMBRYONIC AG, SERUM","ng/mL",0.2,1.4,2,10.1676767676768,2.7,587.2,99,17,0.1717
"CORTISOL, TOTAL SERUM","mcg/dL",1.2,9.925,14.55,15.6408163265306,19.825,63,98,4,0.0408
"AFP TUMOR MARKER, SERUM","ng/mL",0.9,3.925,8.7,159.169387755102,15.75,13674,98,15,0.1531
"PAT TEMP ART, POC","",35.6,36.75,37,37.0736842105263,37.15,39.8,95,15,0.1579
"PARATHYROID. INTACT","pg/mL",3,50,84,189.731182795699,234,899,93,12,0.129
"MICROALBUMIN","mg/L",0,7.65,21,96.9535164835165,94.5,1307,91,9,0.0989
"NT-PRO BNP","pg/mL",23,391,1699,3990.89887640449,5365,44237,89,6,0.0674
"ED BG POC BE","mmol/L",-12,-1,2,2.40449438202247,5,22,89,2,0.0225
"TESTOSTERONE, SERUM","ng/dl",10,35,137,193.056179775281,320,854,89,1,0.0112
"MICROALBUMIN/CREAT RATIO","MG/G CR",1,6,20.5,161.920454545455,96,3153,88,9,0.1023
"VITAMIN B12, SERUM","pg/ml",86,323,463,558.882954545455,726.25,1550,88,2,0.0227
"AMYLASE, BODY FLUID","U/L",2,17.5,76,7268.52873563218,1899.5,316500,87,17,0.1954
"HCO3 ARTERIAL, POC","mmol/L",7,22.3,25.2,25.2344827586207,28.1,40,87,2,0.023
"ED BG POC PCO2","mmHg",20,41,45,46.2117647058824,51,88,85,4,0.0471
"ED BG POC PH","",7.13,7.37,7.4,7.39614457831325,7.44,7.56,83,4,0.0482
"ED BG POC SO2","%",11,46,64,61.578313253012,82,96,83,0,0
"ED LACTATE POC","mmol/L",0.5,0.9,1.4,1.72168674698795,2,10.2,83,7,0.0843
"FIO2 ART, POC","%",21,40,60,61.8,92.5,100,80,0,0
"PAO2/FIO2 RATIO","mmHg",47,143.75,244,255.9075,323.5,967,80,1,0.0125
"CALC % O2 SAT ART, POC","",59.6,93.775,96.1,94.5076923076923,98.4,100.5,78,5,0.0641
"ED BG POC HCO3","mmol/L",16,25,28,27.8333333333333,31,47,78,1,0.0128
"GLUCOSE, POC","mg/dL",39,100.25,111,130.512820512821,132.75,474,78,9,0.1154
"DIGOXIN","ng/mL",0.3,0.725,1.1,1.21666666666667,1.6,3.3,78,1,0.0128
"SODIUM, POC","mmol/L",128,136,139,138.12987012987,141,145,77,2,0.026
"PROTEIN CONC, URINE","mg/dL",5,82,212,624.973333333333,575,4040,75,10,0.1333
"CHLORIDE, POC","mmol/L",91,99.25,102,102.081081081081,105.75,116,74,0,0
"POTASSIUM, POC","mmol/L",3.1,3.725,4.1,4.24459459459459,4.4,7.2,74,8,0.1081
"FIO2, VENOUS","",0.21,0.3,0.35,5.35027397260274,0.45,100,73,6,0.0822
"ED BG POC TCO2","mmol/L",17,26,28,28.5753424657534,31,49,73,3,0.0411
"PROTHROMBIN TIME","SEC",10.1,16.75,20.5,23.4591549295775,26.25,90.9,71,3,0.0423
"GLUCOSE","mg/dL",0,91,100,114.450704225352,127,290,71,6,0.0845
"HEMATOCRIT, POC","%PCV",18,34,38,37.3661971830986,42,49,71,1,0.0141
"IONIZED CALCIUM, POC","mmol/L",0.98,1.12,1.15,1.1531884057971,1.19,1.3,69,2,0.029
"LUTEINIZING HORMONE, SERUM","mIU/mL",1,11,25,26.2565217391304,38,105,69,2,0.029
"SODIUM CONC, URINE","mmol/L",5,22,37,52.3235294117647,77.25,166,68,1,0.0147
"PEF PRE","L/sec",2.18,4.5225,5.725,5.88375,6.955,11.6,64,1,0.0156
"FEV1 PRE (% REF)","%",30,59,76,76.2063492063492,92,120,63,0,0
"LVIDD (CM)","",3.3,4.45,4.8,5.02698412698413,5.6,7.2,63,0,0
"PROTEIN/CREAT RATIO","mg/mg",0.08,0.1875,0.785,18.7324032258065,2.57,546,62,8,0.129
"FEV1 PRE","Liters",0.8,1.5125,2.055,2.11016129032258,2.6125,3.92,62,0,0
"VITAMIN B12","pg/ml",154,382,541,743.870967741935,862.75,4023,62,5,0.0806
"TCO2, POC","mmol/L",19,23,26,25.5161290322581,27,33,62,0,0
"FVC PRE (% REF)","%",44,72.25,82,83.8225806451613,97.5,119,62,0,0
"LACTIC ACID, PLASMA","mmol/L",0.3,1,1.5,2.28064516129032,2.9,16.1,62,3,0.0484
"FEF25-75% PRE","L/sec",0.26,0.74,1.32,1.56606557377049,2.34,4.59,61,0,0
"MV E VMAX (M/S)","",0.4,0.675,0.9,0.933333333333333,1.1,2.4,60,3,0.05
"VANCOMYCIN","ug/mL",2.3,12.2,20.9,21.7898305084746,31.25,47.2,59,0,0
"RV TDI S?","",0.1,9,11,11.3491525423729,13.55,25,59,3,0.0508
"IGF-1, SERUM","ng/mL",33,89.25,126,146.827586206897,172.75,410,58,5,0.0862
"FIF50% PRE","L/sec",0,2.2675,3.25,3.30241379310345,4.505,6.85,58,0,0
"CR CLEARANCE (EST)","mL/min",17.99,53.3875,101.015,92.4786206896552,130.035,173.72,58,0,0
"ALPHA-1, SERUM - SPEP","g/dL",0.1,0.16,0.19,0.206315789473684,0.21,0.6,57,8,0.1404
"HOMOCYSTEINE, PLASMA, TOTAL","umol/L",5.3,8.6,11.6,12.7421052631579,14.3,39.8,57,4,0.0702
"FEF25-75% PRE (% REF)","%",11,38,59,69.7719298245614,100,151,57,0,0
"B-NATRIURETIC PEPTIDE","pg/mL",4,40,213,571.785964912281,912,3899,57,3,0.0526
"FEV1/FVC PRE","%",36,61.75,70.5,68.7142857142857,77.25,93,56,1,0.0179
"LA DIM. (CM)","",2.2,3.4,4,3.925,4.4,6.4,56,1,0.0179
"PEF PRE (% REF)","%",25,69.75,84.5,83.8928571428571,99.25,144,56,0,0
"CANCER AG GI (19-9)","U/mL",1,20,115,844.059454545455,487,19426,55,6,0.1091
"TOTAL PROTEIN, SERUM - SPEP","g/dL",5,6.5,6.9,7.08545454545455,7.7,9,55,0,0
"RV TAPSE","",1.1,1.6,2,2.09272727272727,2.4,6.6,55,1,0.0182
"IGM, SERUM","mg/dL",20,934,1315,1809.23636363636,2018.5,6175,55,9,0.1636
"LDH TOTAL","U/L",100,147,161,170.148148148148,188.75,267,54,3,0.0556
"IRON, SERUM","ug/dL",8,34,61,65.5849056603774,92,223,53,1,0.0189
"FVC PRE","Liters",1.2,2.4,3.07,3.16188679245283,4.01,5.49,53,0,0
"BILIRUBIN, TOTAL","mg/dL",0.2,0.3,0.4,0.398076923076923,0.5,0.9,52,1,0.0192
"METHYLMALONIC ACID","umol/L",0.12,0.1675,0.22,0.283461538461538,0.375,1.25,52,1,0.0192
"AFP TUMOR MARKER SERUM, OHSU","ng/mL",1.6,3.25,5.7,95.5788461538462,13.65,1636.1,52,11,0.2115
"PROTEIN, TOTAL","g/dl",5.7,6.475,6.75,6.75384615384615,7.1,7.8,52,0,0
"ALPHA-2, SERUM - SPEP","g/dL",0.57,0.7,0.71,0.75843137254902,0.815,1.13,51,1,0.0196
"ESTRONE, SERUM","ng/dL",0.6,1.7,2.6,14.8607843137255,18.95,110,51,6,0.1176
"FOLATE, SERUM","ng/ml",3.5,10.5,13.055,13.7282,17.525,28.6,50,1,0.02
"VLDL - LIPID LAB","mg/dl",11,15,30.5,31.4166666666667,44,72,48,0,0
"ALKALINE PHOSPHATASE","U / L",39,62,70.5,79.25,96.25,147,48,0,0
"ESTRADIOL, SERUM","pg/mL",1,15.75,27,45.0625,46.25,259,48,5,0.1042
"WBC, BODY FLUID","cu mm",7,128,374,10064.1489361702,1123,418316,47,4,0.0851
"DHEA-SULFATE, SERUM","mcg/dL",10,37.5,60,78.0851063829787,87.5,304,47,4,0.0851
"CALC % O2 SAT, VENOUS","% O2 Sat.",40.5,66.05,71.5,71.1765957446809,77.95,92.3,47,2,0.0426
"PHENYTOIN","ug/mL",1,8.025,16,16.0934782608696,23.175,37.4,46,0,0
"ALBUMIN, SERUM - SPEP","g/dL",2.36,3.7025,4.085,4.00304347826087,4.3775,5.15,46,1,0.0217
"MEAS IONIZED CA, WHOLE BLD, POC","mmol/L",0.92,1.15,1.17,1.185,1.245,1.33,46,1,0.0217
"ALPHA-2 %, SPEP","%",0.8,8.525,9.9,10.1428260869565,12.15,17.5,46,2,0.0435
"MV A VMAX (M/S)","",0.3,0.5,0.7,0.732608695652174,0.975,1.5,46,0,0
"OSMOLALITY","mmol/kg",270.3,279.625,284.65,284.104347826087,288.175,296.5,46,0,0
"% SATURATION TRANSFERRIN","%",2,11,22,25,33.75,87,46,1,0.0217
"GAMMA %, SPEP","%",6.8,10.9,13.9,19.4333333333333,29.7,40.3,45,0,0
"BASO #","10^3/uL",0,0,0,0.02,0,0.3,45,7,0.1556
"BETA % SPEP","%",0.87,7.5,9.4,9.47431818181818,11.425,14.2,44,1,0.0227
"GAMMA, SERUM - SPEP","",0.45,0.765,1.145,1.57613636363636,2.425,3.63,44,0,0
"ALPHA-1 %, SPEP","",0.19,2.1,2.5,2.55558139534884,2.85,6.3,43,6,0.1395
"EOS #","10^3/uL",0,0,0,0.132558139534884,0.15,2.8,43,1,0.0233
"CANCER AG GI (19-9) OHSU","U/mL",5,169.25,547.5,7453.26744186046,1470.8,160750.8,43,7,0.1628
"ALBUMIN %, SPEP","%",42.5,49.95,58.6,56.4883720930233,62,69.2,43,0,0
"COLLECTION INTERVAL, URINE","Hr",12,24,24,23.4761904761905,24,27,42,6,0.1429
"LYMPHOCYTES %(BF)","%",0,9.5,30.5,34.3571428571429,52.5,97,42,0,0
"OXYGEN SAT. MEASURED","%",31.4,56.125,62.35,65.147619047619,71.825,100,42,5,0.119
"IGG, SERUM","mg/dL",79,245.5,307,457.928571428571,529,3120,42,2,0.0476
"OSMOLALITY, URINE","mOsm/Kg H2O",107,298,376.5,405.785714285714,476.75,808,42,1,0.0238
"UROBILINOGEN","mg/dL",0.2,2,2,1.87317073170732,2,4,41,5,0.122
"LDL, CHOLESTEROL - LIPID LAB","mg/dl",67,85,97,100.560975609756,114,145,41,0,0
"CEA-CARCINOEMBRYONIC AG, SERUM OHSU","ng/mL",0.5,0.875,1.4,2.39,3.1,7.7,40,1,0.025
"LAST DOSE TIME","",830,2022.5,2100,2012.475,2100,2100,40,5,0.125
