"x","Status"
111,"ALKALINE PHOSPHATASE"
112,"ALKALINE PHOSPHATASE TOTAL"
113,"ALLOISOLEUCINE PLASMA"
114,"ALPHA 1 ANTITRYPSIN"
115,"ALPHA 1 ANTITRYPSIN PHENOTYPE"
116,"ALPHA AMINOADIPIC PLASMA"
117,"ALPHA TOCOPHEROL (VIT E)"
118,"ALPHA-1 %, SPEP"
119,"ALPHA-1 %, URINE - UPEP"
120,"ALPHA-1, SERUM - SPEP"
121,"ALPHA-1, URINE - UPEP"
122,"ALPHA-2 %, SPEP"
123,"ALPHA-2 %, URINE - UPEP"
124,"ALPHA-2, SERUM - SPEP"
125,"ALPHA-2, URINE - UPEP"
126,"ALT (SGPT)"
127,"ALTERNARIA #1"
128,"ALTERNARIA #2"
129,"AMA TITER, SERUM"
130,"AMIODARONE"
131,"AMITRIP/NORTRIP TOTAL"
132,"AMITRYPTYLINE, SERUM"
133,"AMMONIA"
134,"AMMONIA (LAB)"
135,"AMNISURE"
136,"AMORPH PHOSPH (UR)"
137,"AMORPH URATES (UR)"
138,"AMORPHOUS CRYSTALS"
139,"AMPHET/METHAMP UR, CONFIRM"
140,"AMPHETAMINE CONC, URINE"
141,"AMPHETAMINE SCREEN, URINE"
142,"AMPHETAMINE URINE"
143,"AMPHETAMINE, URINE"
144,"AMPHETAMINE, URINE(UDN)"
145,"AMPHETAMINES, URINE POC"
146,"AMPHOTERICICN B MIC"
147,"AMYLASE, BODY FLUID"
148,"AMYLASE, PLASMA"
149,"ANA COMMENT"
150,"ANA ELISA SCN"
151,"ANA ELISA SCN INTERP"
152,"ANA PATTERN"
153,"ANA SCREEN ON HEP 2, SERUM"
154,"ANA TITER"
155,"ANABASINE, URINE"
156,"ANGIO OTHER EXAM"
157,"ANGIOTENSIN CONVERT ENZ, SERUM"
158,"ANIDULAFUNGIN MIC"
159,"ANIMAL MIX IGE"
160,"ANION GAP"
161,"ANION GAP (ALBUMIN CORRECTED)"
162,"ANISOCYTOSIS"
163,"ANKLE 1 VIEW RIGHT"
164,"ANKLE 2 VIEWS BILATERAL"
165,"ANKLE 2 VIEWS LEFT"
166,"ANKLE 2 VIEWS RIGHT"
167,"ANKLE 3 VIEWS BILATERAL"
168,"ANKLE 3 VIEWS LEFT"
169,"ANKLE 3 VIEWS RIGHT"
170,"ANKLE, 2 VIEWS"
171,"ANKLE, 3 VIEWS"
172,"ANNA IFA SCREEN"
173,"ANSERINE PLASMA"
174,"ANTI DNA QUANT"
175,"ANTI- GRANULOCYTE"
176,"ANTI-B2 GPI IGG"
177,"ANTI-B2 GPI IGM"
178,"ANTI-B2GPI IGG"
179,"ANTI-C3"
180,"ANTI-CYCL CITRUL PEPTIDE"
181,"ANTI-DNA AB, QUANT"
182,"ANTI-DNA ANTIBODY"
183,"ANTI-DSDNA QUANT"
184,"ANTI-HEPC AB"
185,"ANTI-IGG"
186,"ANTI-MITOCHONDRIAL, SERUM"
187,"ANTI-MULLERIAN HORMONE"
188,"ANTI-NUCLEAR AB(ANA), IGG BY ELISA"
189,"ANTI-NUCLEAR AB(ANA), IGG BY IFA"
190,"ANTI-SMOOTH MUSCLE, SERUM"
191,"ANTI-THYROGLOBULIN ABS"
192,"ANTIBODY 1"
193,"ANTIBODY 2"
194,"ANTIBODY ELUTION 1"
195,"ANTIBODY ELUTION, ACID METHOD"
196,"ANTIBODY IDENTIFICATION, BLOOD"
197,"ANTIBODY SCREEN"
198,"ANTIBODY WORKUP, ARC"
199,"ANTICARDIOLIPIN IGG"
200,"ANTICARDIOLIPIN IGM"
201,"ANTICARDIOLIPIN, IGA"
202,"ANTICARDIOLIPIN, IGG"
203,"ANTICARDIOLIPIN, IGM"
204,"ANTIGEN TYPING, RBC"
205,"ANTIGEN, IGE LEVEL"
206,"APC RESISTANCE RATIO"
207,"APO B"
208,"APPEARANCE (UR)"
209,"APPEARANCE, URINE"
210,"APTT"
211,"APTT 11 MIX, 0 MINUTES"
212,"APTT 11 MIX, 60 MIN."
213,"APTT 11 MIX, PLASMA"
214,"APTT INHIB SCRN"
215,"APTT PATIENT"
216,"APTT PATIENT, 0 MINUTES"
217,"APTT, PATIENT, 60 MIN."
218,"ARCH/CAROTID"
219,"ARCHIVE CYTOLOGY"
220,"ARG VASOPRESSIN HORMONE"
221,"ARGININE PLASMA"
222,"ARGININE SIN QT PLASMA"
223,"ARGININOSUCCINIC ACID PL"
224,"ARSENIC, URINE UG/GCRT"
225,"ARTERIO, ABDOMINAL"
226,"ARTERIO, FEMORAL, BI"
227,"ARTERIO, HAND/ARM, UNI"
228,"ARTERIO, LOWER EXT BI"
229,"ARTERIO, LOWER EXT, UNI"
230,"ARTHROGRAM HIP LT"
231,"ARTHROGRAM HIP RT"
232,"ASMA TITER, SERUM"
233,"ASP GALACT AG, BAL"
234,"ASP GALACT INDEX"
235,"ASP GALACT INDEX BAL"
236,"ASP GALACT INDEX, SER"
237,"ASP. GALACTOMANNAN AG"
238,"ASPARAGINE PLASMA"
239,"ASPARAGINE SIN QT PLASMA"
240,"ASPARTIC ACID, PLAS"
241,"ASPERGILLUS"
242,"ASPERGILLUS IGE"
243,"ASPERGILLUS IGG/FEIA"
244,"AST (SGOT)"
245,"AST COMMENTS"
246,"ASTCMT"
247,"ATIII ACTIVITY, PLASMA"
248,"ATRIAL RATE"
249,"ATYPICAL CELLS %"
250,"ATYPICAL CELLS % (SYN FL)"
251,"ATYPICAL CELLS %(BF)"
252,"ATYPICAL CELLS %(CSF)"
253,"ATYPICAL CELLS ABS"
254,"AUTO % IMM GRAN"
255,"AUTO ABS IMM GRAN"
256,"AUTO DIFFERENTIAL"
257,"AUTOPSY, FINAL DIAGNOSIS"
258,"AUTOPSY, PROVISIONAL"
259,"AVIAN MIX #2"
260,"AVOCADO IGE"
261,"B CELL GENE REARRANGEMENT, BLOOD"
262,"B-AMINOISOBUTYRIC ACID, P"
263,"B-NATRIURETIC PEPTIDE"
264,"B. PARAPERTUSSIS PCR"
265,"B. PERTUSSIS PCR"
266,"BACTERIA - CHH"
267,"BACTERIA (UR)"
268,"BAL CD103 CD4/CD4 RAT"
269,"BAL CD3 % LYMPH"
270,"BAL CD4 % TCELLS"
271,"BAL CD8 % TCELLS"
272,"BAL FLOW % LYMPH"
273,"BANANA IGE"
274,"BAND (ABSOLUTE) .........."
275,"BANDS (%)"
276,"BANDS (%)................."
277,"BANDS #"
278,"BANDS %"
279,"BARBITURATE CONF, URINE"
280,"BARBITURATE SCREEN, URINE"
281,"BARBITURATES CONC, URINE"
282,"BARBITURATES, URINE"
283,"BARBITURATES, URINE(UDN)"
284,"BARIUM ENEMA"
285,"BARIUM ENEMA, W/AIR CONTRAST"
286,"BARTONELLA HENSELAE DNA"
287,"BARTONELLA HENSELAE IGG"
288,"BARTONELLA HENSELAE IGM"
289,"BARTONELLA QUINTANA DNA"
290,"BARTONELLA QUINTANA IGG"
291,"BASE EXCESS ART, POC"
292,"BASE EXCESS ARTERIAL, CCL INTRAPROC"
293,"BASE EXCESS VEN, POC"
294,"BASE EXCESS, ARTERIAL"
295,"BASE EXCESS, CAPILLARY"
296,"BASE EXCESS, MIXED"
297,"BASE EXCESS, VENOUS"
298,"BASO #"
299,"BASO %"
300,"BASOPHIL #"
301,"BASOPHIL %"
302,"BASOPHIL%, MANUAL"
303,"BASOPHILIC STIPPLING"
304,"BASOPHILS % (SYN FL)"
305,"BASOPHILS %(BF)"
306,"BASOPHILS %(CSF)"
307,"BB HOLD SPECIMEN-NOT PROCESSED"
308,"BBBD"
309,"BCR/ABL PREVIOUS DRAW DT/TIME"
310,"BCR/ABL PREVIOUS QUANT 1"
311,"BCR/ABL PREVIOUS QUANT RATIO"
312,"BCR/ABL PREVIOUS SOURCE"
313,"BCR/ABL RATIO"
314,"BENZODIAZE SCREEN, URINE"
315,"BENZODIAZEPINE CONC, URINE"
316,"BENZODIAZEPINES, UR(UDN)"
317,"BENZODIAZEPINES, URINE"
318,"BENZODIAZEPINES, URINE POC"
319,"BETA % SPEP"
320,"BETA %, URINE - UPEP"
321,"BETA 1 GLOBULIN"
322,"BETA 2 MICROGLOBULIN, SERUM"
323,"BETA ALANINE PLASMA"
324,"BETA-1, SERUM"
325,"BETA-2 MICROGLOBULIN, CSF"
326,"BETA-2 TRANSFERRIN"
327,"BETA-2, SERUM"
328,"BETA, SERUM - SPEP"
329,"BETA, URINE - UPEP"
330,"BF MONONUCLEAR %"
331,"BILATERAL HUMERUS 2 VIEWS"
332,"BILE ACIDS, TOTAL"
333,"BILIRUBIN (UR)"
334,"BILIRUBIN, TOTAL"
335,"BILIRUBIN, URINE"
336,"BIOPSY, LIVER, TRANSJUGULAR"
337,"BIPLANE, EF (%)"
338,"BK VIRUS QUANT"
339,"BK VIRUS QUANT, BLOOD"
340,"BK VIRUS QUANT, URINE"
341,"BLASTOMYCES"
342,"BLASTS"
343,"BLOOD (UR)"
344,"BLOOD BANK TESTING"
345,"BLOOD CULTURE OHSU"
346,"BLOOD GAS ARTERIAL"
347,"BLOOD GAS VENOUS"
348,"BLOOD GLUCOSE BY MONITOR"
349,"BLOOD GLUCOSE, POC"
350,"BLOOD PRODUCT CODE"
351,"BLOOD TYPE BARCODE"
352,"BLOOD, URINE"
353,"BMF REPORT"
354,"BODY FLUID CLARITY"
355,"BONE LENGTH SERIES"
356,"BONE SPECIAL VIEWS"
357,"BONE SURVEY, ADULT"
358,"BORDETELLA PERTUSSIS PCR"
359,"BRAF MUTATION ANALYSIS (EXON 15)"
360,"BREAST NEEDLE LOCAL/BX-1 SITE"
361,"BREAST, TISSUE SPECIMEN X-RAY"
362,"BREATHING RESERVE AT"
363,"BREATHING RESERVE BASE"
364,"BREATHING RESERVE PEAK"
365,"BRONCHOGRAPHY LEFT"
366,"BRUCELLA IGA, SERUM"
367,"BRUCELLA IGG, SERUM"
368,"BRUCELLA IGM, SERUM"
369,"BUN"
370,"BUN, POC"
371,"BUN/CREATININE RATIO"
372,"BUPRENORPHINE GLUCURONIDE, URINE"
373,"BUPRENORPHINE, URINE"
374,"BURR CELLS"
375,"C-PEPTIDE, SERUM"
376,"C-REACTIVE PROTEIN"
377,"C-REACTIVE PRTN, HIGH SENS"
378,"C-REACTIVE PRTN, HS - LIPID LAB"
379,"C-SPINE, 4VIEW/SWIMMER"
380,"C. DIFFICILE TOXIGENIC STRAIN"
381,"C. DIFFICILE TOXIN"
382,"C. TRACHOMATIS"
383,"C'3 COMPLEMENT, SERUM"
384,"C'4 COMPLEMENT, SERUM"
385,"C1 ESTERASE FUNC INHIBITOR"
386,"CA 15-3"
387,"CA 19-9LAB"
388,"CA 27-29, SERUM"
389,"CA-125"
390,"CA-125 RIA, SERUM"
391,"CA-125, CIA"
392,"CA-125, CIA BECKMAN"
393,"CA-125, SERUM"
394,"CA19-9"
395,"CALC % O2 SAT ART, POC"
396,"CALC % O2 SAT VEN, POC"
397,"CALC % O2 SAT, VENOUS"
398,"CALC % O2, ARTERIAL"
399,"CALC ICA, WHOLE BLOOD"
400,"CALCITONIN"
401,"CALCITONIN, PLASMA"
402,"CALCIUM"
403,"CALCIUM CONC, URINE"
404,"CALCIUM IONIZED LEVEL SERUM"
405,"CALCIUM OXALATE CRYS (UR)"
406,"CALCIUM, PTH W"
407,"CALCIUM, SERUM"
408,"CALCIUM, URINE"
409,"CALCIUM(ALB CORRECTED)"
410,"CALLED TO"
411,"CAMPYLOBACTER SPECIES"
412,"CANCER AG BREAST (15-3)"
413,"CANCER AG GI (19-9)"
414,"CANCER AG GI (19-9) OHSU"
415,"CANDIDA SPECIES DNA PROBE"
416,"CANNABINOID CONC, URINE"
417,"CANNABINOID CONFIRM, URINE"
418,"CANNABINOID SCREEN, URINE"
419,"CANNABINOIDS, URINE"
420,"CANNABINOIDS, URINE(UDN)"
421,"CARBAMAZEPINE"
422,"CARBON MONOXIDE"
423,"CARBOXYHEMOGLOBIN"
424,"CARDIAC RISK RATIO"
425,"CARDIAC STRESS TEST"
426,"CARNOSINE PLASMA"
427,"CASPOFUNGIN MIC"
428,"CATE PF INTERPRETATION"
429,"CATE UF INTERP"
430,"CATH CHECK WITH FILM"
431,"CATH PLACEMENT"
432,"CATH REPLACEMENT WITH FILM"
433,"CATHERTER REMOVAL"
434,"CBC COMMENT, POC"
435,"CBC COMMENTS"
436,"CD 19 % (TOTAL B CELLS)"
437,"CD19 (TOTAL B-CELLS)"
438,"CD3 (TOTAL T CELLS)"
439,"CD3 % (TOTAL T CELLS)"
440,"CD3 T-CELL COUNT"
441,"CD4 (T HELPER CELLS LYMPH QUANT)"
442,"CD4 (T HELPER CELLS)"
443,"CD4 % (T HELPER CELLS)"
444,"CD4/CD8 RATIO"
445,"CD4% (T HELPER CELLS LYMPH QUANT)"
446,"CD56+, CD3- (NK CELLS)"
447,"CD56+, CD3- % (NK CELLS)"
448,"CD8 (T SUPPRESSOR CELLS)"
449,"CD8 % (T SUPPRESSOR CELLS)"
450,"CEA"
451,"CEA - CARCINOEMBRYONIC AG, FLUID"
452,"CEA - TYPE OF FLUID"
453,"CEA-CARCINOEMBRYON AG, BODY FL"
454,"CEA-CARCINOEMBRYONIC AG, SERUM"
455,"CEA-CARCINOEMBRYONIC AG, SERUM OHSU"
456,"CEFEPIME"
457,"CEFTRIAXONE"
458,"CEFUROXIME"
459,"CELLULAR CASTS (UR)"
460,"CENTROMERE AB"
461,"CEREBRAL 2 VESSELS"
462,"CEREBRAL 3 VESSELS"
463,"CERULOPLASMIN"
464,"CHEST FEED TUBE EVAL XRAY"
465,"CHEST PA LAT & APICAL"
466,"CHEST, 1 VIEW"
467,"CHEST, 1 VIEW, PORTABLE"
468,"CHEST, 2 VIEWS OR STEREO"
469,"CHESTNUT IGE"
470,"CHLAM. PNEUMONIAE IGM"
471,"CHLAMYDIA PNEUMONIAE BY PCR"
472,"CHLAMYDIA PROBE"
473,"CHLORIDE"
474,"CHLORIDE CONC, URINE"
475,"CHLORIDE, POC"
476,"CHOL/HDL RATIO"
477,"CHOLANGIOGRAM INTRAOP"
478,"CHOLESTEROL TOTAL"
479,"CHROMOGRANIN A"
480,"CHROMOSOME REPORT"
481,"CHST TUBE OR CATH EVAL FLUORO"
482,"CHYLO TRIGLYCERIDES"
483,"CHYLOMICRONS CHOLESTEROL"
484,"CIPROFLOXACIN"
485,"CITRULLINE SIN QT PLASMA"
486,"CITRULLINE, PLASMA"
487,"CK"
488,"CK TOTAL"
489,"CKMB INDEX"
490,"CKMB, SERUM"
491,"CLADOSPORIUM SPECIES"
492,"CLAVICAL 2 VWS AP & AP 25 UP"
493,"CLAVICLE RIGHT 2 VIEWS"
494,"CLOTEST 1 HR READING"
495,"CLOTEST 20 MIN READING"
496,"CLOTEST 24 HR READING"
497,"CLOTEST 3 HR READING"
498,"CLOTEST FOR H. PYLORI"
499,"CLUE CELLS - CHH"
500,"CLUE CELLS, WET MOUNT"
501,"CMV IGM AB"
502,"CMV QUALITATIVE BY PCR, CSF"
503,"CMV QUALITATIVE DNA PCR"
504,"CMV QUANTITATIVE DNA"
505,"CMV QUANTITATIVE, PCR INTERP"
506,"CMV TOTAL AB"
507,"CO-OX METHEMOGLOBIN"
508,"CO2"
509,"CO2 TOTAL, BODY FLUID"
510,"COCAINE CONC, URINE"
511,"COCAINE SCREEN, URINE"
512,"COCAINE UR, CONFIRM"
513,"COCAINE URINE"
514,"COCAINE, URINE"
515,"COCAINE, URINE POC"
516,"COCAINE, URINE(UDN)"
517,"COCCIDIOIDES, SERUM"
518,"COCKELBUR IGE"
519,"CODEINE UR, CONFIRM"
520,"CODEINE-GLUCURONIDE CONFIRM"
521,"COLL INTERVAL"
522,"COLLAGEN/EPINEPHRINE"
523,"COLLECTION INTERVAL"
524,"COLLECTION INTERVAL, URINE"
525,"COLLECTION START DATE"
526,"COLLECTION START TIME"
527,"COLON BARIUM ENEMA W AIR"
528,"COLON BARIUM ENEMA W KUB"
529,"COLON BARIUM ENEMA WO KUB"
530,"COLOR"
531,"COLOR (UR)"
532,"COLOR, URINE"
533,"COMMENT (HEMO)"
534,"COMMENT (ICTERUS)"
535,"COMMENT (LIPEMIA)"
536,"COMMENT (PARASITOLOGY)"
537,"COMMENT-PTH"
538,"COMPLETE RBC PHENOTYPE"
539,"COOMBS DIRECT 2 ANTIGLOBULIN"
540,"COOMBS, IGG"
541,"COPIED PHYSICIANS"
542,"COPPER"
543,"CORE MISC NORMAL RANGE"
544,"CORE MISC TEST NAME"
545,"CORONAVIRUS 229E PCR"
546,"CORONAVIRUS HKU1 PCR"
547,"CORONAVIRUS NL63 PCR"
548,"CORONAVIRUS OC43 PCR"
549,"CORTISOL FREE URINE"
550,"CORTISOL, 30 MINUTE"
551,"CORTISOL, 60 MINUTE"
552,"CORTISOL, BASELINE"
553,"CORTISOL, FREE"
554,"CORTISOL, TOTAL SERUM"
555,"CORTISOL, URINE FREE - PER VOL"
556,"CORTISOL, URINE FREE - RATIO TO CRT"
557,"CORTISOL, URINE INTERPRETATION"
558,"CORTISOL(ACTHSTM)"
559,"COTININE, URINE"
560,"COUMADIN CURRENT DOSE"
561,"CPS TECH"
562,"CR CLEARANCE (EST)"
563,"CREATININE"
564,"CREATININE CLEARANCE, UR"
565,"CREATININE CONC, URINE"
566,"CREATININE CONCENTRATION"
567,"CREATININE PLASMA, (CLR)"
568,"CREATININE SERUM"
569,"CREATININE, BODY FLUID"
570,"CREATININE, POC"
571,"CREATININE, UR(REFERRAL)"
572,"CREATININE, URINE"
573,"CROSSMATCH ANALYSIS"
574,"CROWN RUMP LENGTH (CRL)"
575,"CRYPTO AG, CSF"
576,"CRYPTO AG, SER"
577,"CRYSTALS"
578,"CSF APPEARANCE"
579,"CSF CLARITY 1"
580,"CSF CLARITY 4"
581,"CSF COLOR"
582,"CSF IGG SYNTHESIS RATE"
583,"CSF IGG/ALBUMIN RATIO"
584,"CSF NEUT % 4"
585,"CSF OLIGOCLONAL BANDS NUMBER"
586,"CSF RBC 1"
587,"CSF RBC 4"
588,"CSF TUBE NUMBER"
589,"CSF WBC 1"
590,"CSF WBC 4"
591,"CT ABD GENERAL W/PRIOR CONTRAST"
592,"CT ABD LIMITED W/PRIOR CONTRAST"
593,"CT ABD W CONTR"
594,"CT ABD W LTD LIVER"
595,"CT ABDOMEN & PELVIS W CONTRAST"
596,"CT ABDOMEN & PELVIS WO CONTRAST"
597,"CT ABDOMEN & PELVIS WWO CONTRAST"
598,"CT ABDOMEN W CONTRAST"
599,"CT ABDOMEN W CONTRAST LTD"
600,"CT ABDOMEN WO CONTRAST"
601,"CT ABDOMEN WWO CONTRAST"
602,"CT ABDOMEN, GENERAL, DOUBLE"
603,"CT BIOPSY ABD OR RETRO MASS W/NEEDLE PLCMT"
604,"CT BIOPSY BONE DEEP PERC W/NEEDLE PLCMT"
605,"CT BIOPSY BONE SUPERFICIAL PERC W/NEEDLE PLCMT"
606,"CT BIOPSY LUNG ORGAN W/NEEDLE PLCMT"
607,"CT BIOPSY MUSCLE W/NEEDLE PLCMT"
608,"CT BIOPSY PELVIC OR HIP DEEP W/NEEDLE PLCMT"
609,"CT BIOPSY RENAL LEFT W/NEEDLE PLCMT"
610,"CT BODY PLC RAD THERAPY FIELD"
611,"CT BODY, NEEDLE ASPIRATION"
612,"CT BODY, NEEDLE BIOPSY"
613,"CT BRAIN W/PRIOR CONTRAST"
614,"CT BRAIN, DOUBLE STUDY"
615,"CT BX ABD OR RETRO MASS PERC"
616,"CT BX LUNG PERC"
617,"CT BX RENAL PERC LEFT"
618,"CT CARDIAC CALCIUM SCORING"
619,"CT CERVICAL SPINE W CONTRAST"
620,"CT CERVICAL SPINE WO CONTRAST"
621,"CT CHEST & LIVER W CONT"
622,"CT CHEST & LIVER W/ ABD LIMITED W CONTRAST"
623,"CT CHEST EXPIRATORY"
624,"CT CHEST PLC RAD THERAPY FIELD"
625,"CT CHEST W CONTRAST"
626,"CT CHEST W/ LIVER SURVEY"
627,"CT CHEST W/PRIOR CONTRAST"
628,"CT CHEST WO CONTRAST"
629,"CT CHEST WWO CONTRAST"
630,"CT CHEST, ABDOMEN & PELVIS W CONTRAST"
631,"CT CHEST, ABDOMEN & PELVIS WO CONTRAST"
632,"CT CHEST, ABDOMEN & PELVIS WWO CONTRAST"
633,"CT CHEST, DOUBLE STUDY"
634,"CT CRYO ABLATION RENAL BILAT W/ GUIDE"
635,"CT CTA ABD RUN OFF WWO CONT"
636,"CT CTA CHEST W OH"
637,"CT CTA CHEST WWO CONTRAST"
638,"CT CTA CORONARY"
639,"CT CTA HEAD W C"
640,"CT CTA LOW EXT BILA WWO CONT"
641,"CT CTA NECK W C"
642,"CT CTA PELV W C"
643,"CT CTA PELVIS WWO CONTRAST"
644,"CT DRAIN INJ PERITONEAL PERC W/GUIDANCE"
645,"CT ENTEROGRAPHY ABDOMEN AND PELVIS WITH CONTRAST"
646,"CT EXTREMITY LOW W/PRIOR CONT"
647,"CT FEMUR BILAT W CONTRAST"
648,"CT FINE NEEDLE ASPIRATION COMBO"
649,"CT GUIDANCE NEEDLE PLACEMENT"
650,"CT HEAD & MAXFACIAL WO CONT W/3D"
651,"CT HEAD W CONTRAST"
652,"CT HEAD WO CONTRAST"
653,"CT HEAD WWO CONTRAST"
654,"CT IAC W CONTRAST"
655,"CT LARYNX W CONTRAST"
656,"CT LARYNX W/PRIOR CONTRAST"
657,"CT LARYNX WO CONTRAST"
658,"CT LOWER EXTREMITY BILATERAL W CONTRAST"
659,"CT LOWER EXTREMITY LEFT W CONTRAST"
660,"CT LOWER EXTREMITY LEFT WO CONTRAST"
661,"CT LOWER EXTREMITY RIGHT W CONTRAST"
662,"CT LOWER EXTREMITY RIGHT WO CONTRAST"
663,"CT LUMBAR SPINE"
664,"CT LUMBAR SPINE W CONTRAST"
665,"CT LUMBAR SPINE WO CONTRAST"
666,"CT LUNG SCREENING"
667,"CT MAX'FACIAL W CONTRAST"
668,"CT MAX'FACIAL WO CONTRAST"
669,"CT MAXILLOFACIAL, ROUTINE"
670,"CT NAVIGATIONAL BRONCHOSCOPY WO CONTRAST"
671,"CT NECK ADENOPATHY W C"
672,"CT NECK ADENOPATHY WO C"
673,"CT NECK LARYNX FOR TUMOR W C"
674,"CT NECK LARYNX FOR TUMOR WO C"
675,"CT NECK OTHER MASS W C"
676,"CT NECK OTHER MASS WO C"
677,"CT NECK PARATHYROID WO C"
678,"CT NECK SOFT TISS W CONTRAST"
679,"CT NECK SOFT TISS WO CONTRAST"
680,"CT NECK THYROID W C"
681,"CT NECK THYROID WO C"
682,"CT NECK VOCL CORD PARALYS W"
683,"CT NECK W CONTRAST"
684,"CT NEURO PLC RAD THERPY FLD"
685,"CT ORBITS W CONTRAST"
686,"CT ORBITS WO CONTRAST"
687,"CT OTHER STUDIES"
688,"CT OUTSIDE FILMS"
689,"CT PELVIC SURVEY W/ PRIOR CONT"
690,"CT PELVIS W CONTRAST"
691,"CT PELVIS W/PRIOR CONTRAST"
692,"CT PELVIS WO CONTRAST"
693,"CT PELVIS WWO CONTRAST"
694,"CT RADIOFREQ ABLATION KIDNEY RIGHT"
695,"CT RADIOFREQNCY ABLATION LIVER W/GUIDANCE"
696,"CT RECIST"
697,"CT RECON SAGITL, CORONL OR 3D"
698,"CT RECONSTRUCTION 3-D"
699,"CT RECONSTRUCTION CORONAL"
700,"CT RECONSTRUCTION SAGITAL"
701,"CT RENAL COLIC ABD LTD WO CON"
702,"CT RENAL COLIC PELVIS W/ABD LIMITED WO CONT"
703,"CT RENAL COLIC PELVIS WO CONT"
704,"CT RENAL COLIC STONE WO CONT"
