"X","Status"
136,"HEM DURATION8"
137,"HEM DURATION9"
138,"HEP ASSAY"
139,"HR"
140,"INR"
141,"LEAST IN 24 HOURS"
142,"LITTLE INTEREST OR PLEASURE IN DOING THINGS"
143,"MONDAY (MG)"
144,"MOOD"
145,"MOVING / SPEAKING SO SLOWLY PEOPLE MAY NOTICE OR SO FIDGETY / RESTLESS HAVE BEEN MOVING AROUND MORE THAN USUAL"
146,"NORMAL WORK"
147,"O2"
148,"OHSI IP R VENT PLAT PRESS"
149,"OHSI IP VENT INSP PRES"
150,"OHSU ANE ECG LEAD V"
151,"OHSU ANE R ECG HEART RATE"
152,"OHSU ANE R ETCO2"
153,"OHSU ANE R NIBP MEAN"
154,"OHSU ANE R SPO2"
155,"OHSU G INTAKE VOLUME"
156,"OHSU IP G REHAB: DYNAMIC GAIT INDEX TOTAL"
157,"OHSU IP ORAL CONTRAST VOLUME RECEIVED"
158,"OHSU IP PRBC VOLUME"
159,"OHSU IP PSH FORMULA"
160,"OHSU IP R  AIRWAY RESP RATE"
161,"OHSU IP R % EATEN FOOD ITEM 1"
162,"OHSU IP R % EATEN FOOD ITEM 10"
163,"OHSU IP R % EATEN FOOD ITEM 2"
164,"OHSU IP R % EATEN FOOD ITEM 3"
165,"OHSU IP R % EATEN FOOD ITEM 4"
166,"OHSU IP R % EATEN FOOD ITEM 5"
167,"OHSU IP R % EATEN FOOD ITEM 6"
168,"OHSU IP R % EATEN FOOD ITEM 7"
169,"OHSU IP R % EATEN FOOD ITEM 8"
170,"OHSU IP R % EATEN FOOD ITEM 9"
171,"OHSU IP R % MEAL CONSUMED"
172,"OHSU IP R ADULT CRRT ACCESS PRESSURE"
173,"OHSU IP R ADULT CRRT EFFLUENT PRESSURE"
174,"OHSU IP R ADULT CRRT FILTER PRESSURE"
175,"OHSU IP R ADULT CRRT RETURN PRESSURE"
176,"OHSU IP R ADULT CRRT WARMING DEVICE V2"
177,"OHSU IP R ALARM RR HIGH"
178,"OHSU IP R ALBUMIN VOLUME"
179,"OHSU IP R AMIODARONE VOLUME (ML)"
180,"OHSU IP R APACHE TEMPERATURE"
181,"OHSU IP R APENA PK FLOW"
182,"OHSU IP R APNEA INTERVAL"
183,"OHSU IP R APNEA VOLUME"
184,"OHSU IP R ARGATROBAN VOLUME (ML)"
185,"OHSU IP R ART LINE B/P MEAN"
186,"OHSU IP R ARTERIAL B/P MEAN"
187,"OHSU IP R ASA"
188,"OHSU IP R BLADDER IRRIGATION INPUT V2"
189,"OHSU IP R BLADDER SCAN AMOUNT"
190,"OHSU IP R BLOOD MEASURED OUTPUT"
191,"OHSU IP R BMI"
192,"OHSU IP R BP MEAN"
193,"OHSU IP R BREAST FEEDING DURATION"
194,"OHSU IP R BSA"
195,"OHSU IP R CARDIAC INDEX"
196,"OHSU IP R CARDIAC OUTPUT"
197,"OHSU IP R CBG RESULT"
198,"OHSU IP R CBG RESULT BILLABLE (RETIRED ROW)"
199,"OHSU IP R CCI"
200,"OHSU IP R CCO"
201,"OHSU IP R CENTRAL LINE SALINE V2"
202,"OHSU IP R CHEST TUBE OUTPUT V2"
203,"OHSU IP R CISATRACURIUM VOLUME (ML)"
204,"OHSU IP R CIWA-AR TOTAL"
205,"OHSU IP R CM EXPOSED CVC V2"
206,"OHSU IP R CPP"
207,"OHSU IP R CRRT BLOOD FLOW RATE 2"
208,"OHSU IP R CRRT FLUID BALANCE GOAL"
209,"OHSU IP R CRRT PD PRESSURE"
210,"OHSU IP R CRRT PT. FLUID REMOVAL (ACTUAL) V2"
211,"OHSU IP R CRRT TMP PRESSURE"
212,"OHSU IP R CT CM H2O SUCTION V2"
213,"OHSU IP R CVP MEAN"
214,"OHSU IP R DBW"
215,"OHSU IP R DEXMEDETOMIDINE K CONSTANT"
216,"OHSU IP R DEXMEDETOMIDINE VOLUME"
217,"OHSU IP R DIALYSATE FLOW RATE"
218,"OHSU IP R DILTIAZEM VOLUME"
219,"OHSU IP R DOBUTAMINE VOLUME"
220,"OHSU IP R DOSING WEIGHT CHANGE BPA"
221,"OHSU IP R EPIDURAL ATTEMPTS NON-DUP"
222,"OHSU IP R EPIDURAL DEMAND DOSE NON-DUP"
223,"OHSU IP R EPIDURAL DEMAND VOLUME"
224,"OHSU IP R EPIDURAL DOSES DELIVERED NON-DUP"
225,"OHSU IP R EPIDURAL LOCKOUT NON-DUP"
226,"OHSU IP R EPIDURAL MEDICATION INTAKE VOLUME"
227,"OHSU IP R EPIDURAL VOLUME REMAINING NON-DUP"
228,"OHSU IP R EPINEPHRINE ML"
229,"OHSU IP R EPINEPHRINE VOLUME (ML)"
230,"OHSU IP R ETCO2"
231,"OHSU IP R EXH TIDAL VOLUME"
232,"OHSU IP R FEEDING TUBE SIZE NUMERIC"
233,"OHSU IP R FENTANYL VOLUME (ML)"
234,"OHSU IP R FIO2"
235,"OHSU IP R FLACC SCORE"
236,"OHSU IP R FLOW TRIG"
237,"OHSU IP R FREE WATER IN V2"
238,"OHSU IP R FUROSEMIDE VOLUME (ML)"
239,"OHSU IP R GAST TUBE PLACEMENT CM"
240,"OHSU IP R GI: TOTAL ROOM TIME"
241,"OHSU IP R GLASCOW COMA SCALE TOTAL"
242,"OHSU IP R HCT SETTING"
243,"OHSU IP R HEARTMATE II POWER"
244,"OHSU IP R HEARTMATE II PULSATILITY"
245,"OHSU IP R HEARTMATE II PUMP SPEED"
246,"OHSU IP R HEARTWARE ESTIMATED PULSATILITY PEAK"
247,"OHSU IP R HEARTWARE HIGH POWER ALARM"
248,"OHSU IP R HEARTWARE LOW FLOW ALARM"
249,"OHSU IP R HEARTWARE PUMP FLOW LPM"
250,"OHSU IP R HEARTWARE PUMP POWER"
251,"OHSU IP R HEARTWARE PUMP SPEED RPM"
252,"OHSU IP R HEMODIALYSIS  BLOOD VOLUME PROCESSED"
253,"OHSU IP R HEMODIALYSIS  NET UF"
254,"OHSU IP R HEMODIALYSIS  OTHER"
255,"OHSU IP R HEMODIALYSIS  PRIME"
256,"OHSU IP R HEMODIALYSIS  PRIME OTHER POST"
257,"OHSU IP R HEMODIALYSIS  PRIME POST"
258,"OHSU IP R HEMODIALYSIS  TOTAL UF REMOVED"
259,"OHSU IP R HEMODIALYSIS  UF (TOTAL)"
260,"OHSU IP R HEMODIALYSIS  UF TOTAL"
261,"OHSU IP R HEMODIALYSIS  UFR"
262,"OHSU IP R HEMODIALYSIS ARTERIAL VOLUME"
263,"OHSU IP R HEMODIALYSIS CHORINE.CHLORAMINE LEVEL"
264,"OHSU IP R HEMODIALYSIS DIALYSATE PH"
265,"OHSU IP R HEMODIALYSIS NS FLUSH"
266,"OHSU IP R HEMODIALYSIS VENOUS VOLUME"
267,"OHSU IP R HEMODIALYSIS: NET UF NEGATIVE"
268,"OHSU IP R HEMODIALYSIS: NET UF POSITIVE"
269,"OHSU IP R HEMODILAYSIS INITIAL HEPARIN UNIT BOLUS"
270,"OHSU IP R HEMODILAYSIS NET UF (CALC)"
271,"OHSU IP R HENDRICH TOTAL"
272,"OHSU IP R HEPARIN IMPELLA INTAKE VOLUME"
273,"OHSU IP R HEPARIN K CONSTANT"
274,"OHSU IP R HEPARIN VOLUME (ML)"
275,"OHSU IP R HYDROMORPHONE DRIP VOLUME"
276,"OHSU IP R IABP AFTERLOAD REDUCTION"
277,"OHSU IP R IABP ASSISTED END DIASTOLIC"
278,"OHSU IP R IABP ASSISTED SYSTOLIC"
279,"OHSU IP R IABP AUGMENTATION"
280,"OHSU IP R IABP UNASSISTED END DIASTOLIC"
281,"OHSU IP R IABP UNASSISTED SYSTOLIC"
282,"OHSU IP R ICP MEAN"
283,"OHSU IP R ICU ARCTIC SUN WATER TEMP"
284,"OHSU IP R IMPELLA CATHETER LENGTH CM"
285,"OHSU IP R IMPELLA FLOW L/MIN"
286,"OHSU IP R IMPELLA PLACEMENT SIGNAL"
287,"OHSU IP R IMPELLA PURGE HEPARIN DOSE"
288,"OHSU IP R IMPELLA PURGE INFUSION RATE"
289,"OHSU IP R IMPELLA PURGE PRESSURE MMHG"
290,"OHSU IP R INCENTIVE SPIROMETRY ML"
291,"OHSU IP R INSULIN PROTOCOL COLUMN"
292,"OHSU IP R INSULIN VOLUME (ML)"
293,"OHSU IP R INTAKE TUBE FEED V2"
294,"OHSU IP R INTRA-SEDATION INCREMENTAL FENTANYL DOSE"
295,"OHSU IP R INTRA-SEDATION INCREMENTAL MIDAZOLAM DOSE"
296,"OHSU IP R INTRA-SEDATION INCREMENTAL PROPOFOL DOSE"
297,"OHSU IP R INTRA-SEDATION OTHER INCREMENTAL DOSING"
298,"OHSU IP R INTRAABDOMINAL PRESSURE"
299,"OHSU IP R IP TPN VOLUME"
300,"OHSU IP R IRRIGATION OUT"
301,"OHSU IP R ITBV"
302,"OHSU IP R IV BOLUS VOLUME ML"
303,"OHSU IP R IV MISCELLANEOUS"
304,"OHSU IP R IV PIGGY-BACK VOLUME ML"
305,"OHSU IP R KETAMINE VOLUME (ML)"
306,"OHSU IP R LDA DRAWN OUTPUT V2"
307,"OHSU IP R LDA EXT PACEMAKER RATE V2"
308,"OHSU IP R LDA EXT PACEMAKER VENTRICLE OUTPUT MA V2"
309,"OHSU IP R LDA EXT PACEMAKER VENTRICLE SENSITIVITY MV V2"
310,"OHSU IP R LDA FLUSH VOLUME V2"
311,"OHSU IP R LDA GASTRIC TUBE OTHER INPUT V2"
312,"OHSU IP R LDA PA CATHETER CM TO HUB V2"
313,"OHSU IP R LDA PA CATHETER FLUSH VOLUME V2"
314,"OHSU IP R LDA VAD VELOUR EXPOSED"
315,"OHSU IP R LIDOCAINE VOLUME (ML)"
316,"OHSU IP R LIPIDS VOLUME"
317,"OHSU IP R MAGNESIUM VOLUME (ML)"
318,"OHSU IP R MAINTENANCE IV RATE"
319,"OHSU IP R MAINTENANCE IV VOLUME IN ML'S"
320,"OHSU IP R MG HYDROMORPHONE DOSES GIVEN"
321,"OHSU IP R MIDAZOLAM VOLUME (ML)"
322,"OHSU IP R MIDAZOLAM VOLUME (ML) INCREMENTAL DOSE"
323,"OHSU IP R MILRINONE K CONSTANT"
324,"OHSU IP R MILRINONE VOLUME (ML)"
325,"OHSU IP R MPADSS SCORE"
326,"OHSU IP R MPADSS TOTAL SCORE"
327,"OHSU IP R NGT OUTPUT V2"
328,"OHSU IP R NICARDIPINE VOLUME (ML)"
329,"OHSU IP R NITROGLYCERIN K CONSTANT"
330,"OHSU IP R NITROGLYCERIN VOLUME (ML)"
331,"OHSU IP R NOREPINEPHRINE K CONSTANT"
332,"OHSU IP R NOREPINEPHRINE VOLUME (ML)"
333,"OHSU IP R NUMBER OF ATTEMPTS NUMERIC"
334,"OHSU IP R NUMBER UP DURING NIGHT"
335,"OHSU IP R NUTRITION BMI"
336,"OHSU IP R OAG TOTAL"
337,"OHSU IP R OPTIMAL HOURS FEEL RESTED"
338,"OHSU IP R ORDERED ML/KG"
339,"OHSU IP R OSTOMY OUTPUT V2"
340,"OHSU IP R OXYGEN AMOUNT"
341,"OHSU IP R OXYGEN FLOW RATE"
342,"OHSU IP R PACU LOCATION"
343,"OHSU IP R PACU NURSING TIER"
344,"OHSU IP R PAIN FACES SCORE 1"
345,"OHSU IP R PAIN NUMERIC SCORE 1"
346,"OHSU IP R PAIN NUMERIC SCORE 2"
347,"OHSU IP R PAIN NUMERIC SCORE 3"
348,"OHSU IP R PAIN NUMERIC SCORE 4"
349,"OHSU IP R PAIN NUMERIC SCORE 5"
350,"OHSU IP R PAIN NVPS TOTAL"
351,"OHSU IP R PAP MEAN"
352,"OHSU IP R PATIENT BELONGINGS 1 DOLLAR"
353,"OHSU IP R PATIENT BELONGINGS 10 DOLLAR"
354,"OHSU IP R PATIENT BELONGINGS 20 DOLLAR"
355,"OHSU IP R PATIENT BELONGINGS 5 DOLLAR"
356,"OHSU IP R PATIENT BELONGINGS CHANGE"
357,"OHSU IP R PATIENT BELONGINGS ENVELOPE #"
358,"OHSU IP R PATIENT BELONGINGS NUMBER OF BAGS"
359,"OHSU IP R PATIENT BELONGINGS; SENT HOME 1 DOLLAR"
360,"OHSU IP R PATIENT BELONGINGS: 1 DOLLAR"
361,"OHSU IP R PATIENT BELONGINGS: 10 DOLLAR"
362,"OHSU IP R PATIENT BELONGINGS: 20 DOLLAR"
363,"OHSU IP R PATIENT BELONGINGS: 5 DOLLAR"
364,"OHSU IP R PATIENT BELONGINGS: CHANGE"
365,"OHSU IP R PATIENT BELONGINGS: SENT HOME 20 DOLLAR"
366,"OHSU IP R PATIENT BELONGINGS: SENT HOME CHANGE"
367,"OHSU IP R PAWP"
368,"OHSU IP R PCA ATTEMPTS NON-DUP"
369,"OHSU IP R PCA DEMAND DOSE NON-DUP"
370,"OHSU IP R PCA DOSES DELIVERED NON-DUP"
371,"OHSU IP R PCA HYDROMORPHONE (0.5MG/ML) ADULT CUMULATIVE INTAKE"
372,"OHSU IP R PCA HYDROMORPHONE (0.5MG/ML) ADULT NUMBER OF ATTEMPTS"
373,"OHSU IP R PCA HYDROMORPHONE (0.5MG/ML) ADULT NUMBER OF DOSES GIVEN"
374,"OHSU IP R PCA HYDROMORPHONE AMOUNT GIVEN (MG OR MCG)"
375,"OHSU IP R PCA HYDROMORPHONE ATTEMPTS"
376,"OHSU IP R PCA HYDROMORPHONE CUMULATIVE 24 HR TOTAL (MG OR MCG)"
377,"OHSU IP R PCA HYDROMORPHONE VOLUME"
378,"OHSU IP R PCA HYDROMORPHONE VOLUME INFUSED I/O"
379,"OHSU IP R PCA LOCKOUT NON-DUP"
380,"OHSU IP R PCA MCG FENTANYL BASAL RATE"
381,"OHSU IP R PCA MCG FENTANYL BOLUS"
382,"OHSU IP R PCA MCG FENTANYL DOSE CLEARED"
383,"OHSU IP R PCA MCG FENTANYL DOSES GIVEN"
384,"OHSU IP R PCA MCG FENTANYL LOCKOUT"
385,"OHSU IP R PCA MG HYDROMORPHONE ATTEMPTS"
386,"OHSU IP R PCA MG HYDROMORPHONE BASAL RATE"
387,"OHSU IP R PCA MG HYDROMORPHONE BOLUS"
388,"OHSU IP R PCA MG HYDROMORPHONE DEMAND DOSE"
389,"OHSU IP R PCA MG HYDROMORPHONE DOSE CLEARED"
390,"OHSU IP R PCA MG HYDROMORPHONE LOCKOUT"
391,"OHSU IP R PCA MG HYDROMORPHONE REMAINING VOLUME"
392,"OHSU IP R PCA MG MORPHINE ATTEMPTS"
393,"OHSU IP R PCA MG MORPHINE BASAL RATE"
394,"OHSU IP R PCA MG MORPHINE BOLUS"
395,"OHSU IP R PCA MG MORPHINE DEMAND DOSE"
396,"OHSU IP R PCA MG MORPHINE DOSE CLEARED"
397,"OHSU IP R PCA MG MORPHINE DOSES GIVEN"
398,"OHSU IP R PCA MG MORPHINE LOCKOUT"
399,"OHSU IP R PCA MORPHINE AMOUNT GIVEN (MG OR MCG)"
400,"OHSU IP R PCA MORPHINE ATTEMPTS"
401,"OHSU IP R PCA MORPHINE BASAL RATE"
402,"OHSU IP R PCA MORPHINE CONCENTRATON"
403,"OHSU IP R PCA MORPHINE CUMULATIVE 24 HR TOTAL (MG OR MCG)"
404,"OHSU IP R PCA MORPHINE DEMAND DOSE"
405,"OHSU IP R PCA MORPHINE LOCKOUT"
406,"OHSU IP R PCA TOTAL FENTANYL"
407,"OHSU IP R PCA TOTAL HYDROMORPHONE"
408,"OHSU IP R PCA VOLUME REMAINING NON-DUP"
409,"OHSU IP R PED VENT % LEAK"
410,"OHSU IP R PED VENT PPEAK PIP"
411,"OHSU IP R PEDIATRIC EPINEPHRINE DOSING"
412,"OHSU IP R PERIOP (MG) HYDROMORPHONE"
413,"OHSU IP R PERIPHERAL SALINE FLUSH V2"
414,"OHSU IP R PHENYLEPHRINE VOLUME (ML)"
415,"OHSU IP R PIGGYBACK IV VOLUME (FOR USE WITH IVPB WITH DOSE AND RATE)"
416,"OHSU IP R PLASMA VOLUME"
417,"OHSU IP R PLATELET VOLUME"
418,"OHSU IP R PORT HEPARIN FLUSH VOLUME V2"
419,"OHSU IP R PORT SALINE FLUSH VOLUME V2"
420,"OHSU IP R PRBC VOLUME"
421,"OHSU IP R PRE BLOOD PUMP PBP"
422,"OHSU IP R PRESSURE IN AIRWAY"
423,"OHSU IP R PROPOFOL K CONSTANT"
424,"OHSU IP R PROPOFOL VOLUME (ML)"
425,"OHSU IP R PULSE PLETHYSMOGRAPH"
426,"OHSU IP R PVR"
427,"OHSU IP R PVRI"
428,"OHSU IP R QT INTERVAL CORRECTED FOR RATE"
429,"OHSU IP R REPLACEMENT FLOW RATE  ( POST)"
430,"OHSU IP R RT AVAPS IPAP MAX"
431,"OHSU IP R RT AVAPS IPAP MIN"
432,"OHSU IP R RT BH TREATMENTS: METANEB DURATION"
433,"OHSU IP R RT CDYN"
434,"OHSU IP R RT CDYN/KG"
435,"OHSU IP R RT CPAP"
436,"OHSU IP R RT DESAT EVAL DYSPNEA INDEX AFTER"
437,"OHSU IP R RT DESAT EVAL DYSPNEA INDEX BEFORE"
438,"OHSU IP R RT DESAT EVAL RATE OF O2 AMBULATE"
439,"OHSU IP R RT DESAT EVAL RATE OF O2 AT REST"
440,"OHSU IP R RT DESAT EVAL SAT ON O2 AMBULATE"
441,"OHSU IP R RT DESAT EVAL SAT ON O2 AT REST"
442,"OHSU IP R RT DESAT EVAL SAT ON RA AMBULATE"
443,"OHSU IP R RT DESAT EVAL SAT ON RA AT REST"
444,"OHSU IP R RT DRIVING PRESSURE"
445,"OHSU IP R RT EXH MAND VT - ML/KG"
446,"OHSU IP R RT INCENTIVE SPIROMETRY TOTAL BREATHS"
447,"OHSU IP R RT INCENTIVE SPIROMETRY TOTAL REPS"
448,"OHSU IP R RT NITRIC OXIDE CHALLENGE CONCENTRATION"
449,"OHSU IP R RT O2 BLEED IN"
450,"OHSU IP R RT OXYGEN FLOW RATE"
451,"OHSU IP R RT PEP BREATH COUNT"
452,"OHSU IP R RT PEP REPETITIONS"
453,"OHSU IP R RT PFT FEV1 LPM"
454,"OHSU IP R RT PFT FVC LITERS"
455,"OHSU IP R RT RAMP TIME"
456,"OHSU IP R RT RISE TIME"
457,"OHSU IP R RT TRIGGER"
458,"OHSU IP R SBT 30MIN AVG VT"
459,"OHSU IP R SBT HOB DEGREES"
460,"OHSU IP R SBT RT - AVG VT 5MIN"
461,"OHSU IP R SBT RT - RR 30MIN"
462,"OHSU IP R SBT RT - RR 5MIN"
463,"OHSU IP R SBT RT - RSBI 30MIN"
464,"OHSU IP R SBT RT - RSBI 5MIN"
465,"OHSU IP R SBT RT - VE 30MIN"
466,"OHSU IP R SBT RT - VE 5MIN"
467,"OHSU IP R SCOPE #"
468,"OHSU IP R SPO2R"
469,"OHSU IP R STOOL OUTPUT"
470,"OHSU IP R STOOL/URINE MIX"
471,"OHSU IP R SV (ML)"
472,"OHSU IP R SVO2"
473,"OHSU IP R SVR"
474,"OHSU IP R SVRI"
475,"OHSU IP R TARGET VT"
476,"OHSU IP R TIDAL VOLUME SPON"
477,"OHSU IP R TOTAL PEEP"
478,"OHSU IP R TUBE FEED BOLUS V2"
479,"OHSU IP R TUBE FEED RATE V2"
480,"OHSU IP R TUBE FEED RESIDUALS V2"
481,"OHSU IP R TUBE SIZE"
482,"OHSU IP R URINARY DRAIN OUTPUT V2"
483,"OHSU IP R USUAL NAP LENGTH"
484,"OHSU IP R VAD DOPPLER PRESSURE"
485,"OHSU IP R VASOPRESSIN VOLUME (ML)"
486,"OHSU IP R VENT ALARM APNEA INTERVAL"
487,"OHSU IP R VENT ALARM HIGH PPK"
488,"OHSU IP R VENT ALARM LOW PPK"
489,"OHSU IP R VENT ALARM VE HIGH"
